"soc_id","High god","Class differentiation","Lat","Long"
"Aa1","Active, but not supporting morality","Absence of distinctions",-20,21
"Aa2","Absent","Absence of distinctions",0,36
"Aa3","Absent","Wealth distinctions",-26,18
"Aa5","Absent","Absence of distinctions",2,28
"Aa6","Otiose","Absence of distinctions",-5,36
"Aa7","Otiose","Absence of distinctions",-20,24
"Aa9","Absent","Absence of distinctions",-3,35
"Ab10","Absent","Wealth distinctions",-31,30
"Ab13","Active, supporting morality","Elite stratification",-24,27
"Ab14","Otiose","Dual stratification",-24,31
"Ab2","Absent","Dual stratification",-27,32
"Ab3","Otiose","Dual stratification",-15,23
"Ab5","Otiose","Dual stratification",-12,16
"Ab6","Active, but not supporting morality","Dual stratification",-23,30
"Ab8","Absent","Dual stratification",-29,28
"Ab9","Otiose","Elite stratification",-20,28
"Ac1","Otiose","Wealth distinctions",-16,27
"Ac10","Absent","Absence of distinctions",-14,33
"Ac11","Otiose","Absence of distinctions",-12,22
"Ac13","Otiose","Absence of distinctions",-12,34
"Ac17","Otiose","Dual stratification",-6,18
"Ac23","Absent","Dual stratification",-5,21
"Ac27","Otiose","Absence of distinctions",-13,23
"Ac3","Active, but not supporting morality","Dual stratification",-11,31
"Ac30","Active, but not supporting morality","Absence of distinctions",-18,28
"Ac31","Otiose","Dual stratification",-7,28
"Ac33","Otiose","Dual stratification",-15,31
"Ac34","Active, but not supporting morality","Dual stratification",-10,29
"Ac36","Active, but not supporting morality","Dual stratification",-12,34
"Ac4","Otiose","Dual stratification",-5,22
"Ac5","Otiose","Absence of distinctions",-13,28
"Ac7","Absent","Absence of distinctions",-13,36
"Ac9","Absent","Dual stratification",-12,33
"Ad11","Active, supporting morality","Dual stratification",-9,36
"Ad13","Otiose","Absence of distinctions",-3,30
"Ad14","Otiose","Absence of distinctions",-8,38
"Ad15","Otiose","Dual stratification",-10,32
"Ad16","Absent","Dual stratification",-10,34
"Ad17","Otiose","Dual stratification",-8,33
"Ad19","Otiose","Dual stratification",-8,31
"Ad2","Otiose","Dual stratification",2,32
"Ad20","Otiose","Dual stratification",-5,33
"Ad21","Otiose","Dual stratification",-7,31
"Ad22","Otiose","Dual stratification",-3,34
"Ad28","Otiose","Absence of distinctions",-5.84,38.79
"Ad29","Active, supporting morality","Dual stratification",-6.07,39.43
"Ad3","Absent","Dual stratification",-3,37
"Ad32","Absent","Absence of distinctions",-3,40
"Ad4","Active, but not supporting morality","Wealth distinctions",-1,37
"Ad42","Otiose","Dual stratification",-1,32
"Ad44","Otiose","Absence of distinctions",-1,30
"Ad45","Otiose","Elite stratification",0,31
"Ad47","Otiose","Dual stratification",-4,32
"Ad48","Otiose","Dual stratification",1,31
"Ad49","Otiose","Dual stratification",-3,31
"Ad50","Otiose","Absence of distinctions",-6,37
"Ad51","Otiose","Absence of distinctions",-6,38
"Ad6","Otiose","Absence of distinctions",-9,34
"Ad7","Otiose","Dual stratification",1,32
"Ad9","Otiose","Wealth distinctions",1,34
"Ae1","Absent","Absence of distinctions",1,30
"Ae10","Otiose","Complex stratification",-2,30
"Ae11","Otiose","Absence of distinctions",-4,26
"Ae12","Otiose","Wealth distinctions",4,10
"Ae14","Otiose","Dual stratification",-5,30
"Ae17","Otiose","Absence of distinctions",-3,28
"Ae18","Otiose","Wealth distinctions",-6,25
"Ae2","Otiose","Wealth distinctions",4.22,9.27
"Ae28","Otiose","Wealth distinctions",1,18
"Ae3","Otiose","Wealth distinctions",1,11
"Ae39","Absent","Absence of distinctions",2,20
"Ae4","Otiose","Absence of distinctions",0,20
"Ae50","Active, but not supporting morality","Dual stratification",6,11
"Ae51","Otiose","Absence of distinctions",5,11
"Ae56","Active, but not supporting morality","Dual stratification",6,11
"Ae6","Otiose","Dual stratification",-8,26
"Ae7","Absent","Absence of distinctions",3,25
"Ae8","Otiose","Complex stratification",-3,30
"Ae9","Active, but not supporting morality","Dual stratification",6,10
"Af1","Absent","Dual stratification",7,2
"Af10","Otiose","Absence of distinctions",6,7
"Af11","Otiose","Absence of distinctions",11,-9
"Af13","Otiose","Dual stratification",8,7
"Af15","Otiose","Wealth distinctions",7,-9
"Af19","Otiose","Wealth distinctions",5,8
"Af20","Otiose","Wealth distinctions",5,8
"Af22","Otiose","Dual stratification",6,5
"Af23","Absent","Wealth distinctions",6,8
"Af24","Otiose","Dual stratification",6,6
"Af25","Otiose","Wealth distinctions",5,6
"Af3","Otiose","Dual stratification",7,-2
"Af32","Otiose","Dual stratification",7,3
"Af33","Otiose","Dual stratification",8,5
"Af34","Otiose","Dual stratification",7,5
"Af36","Otiose","Dual stratification",7,1
"Af4","Absent","Absence of distinctions",6,8
"Af42","Otiose","Dual stratification",6,-1
"Af5","Otiose","Dual stratification",8,-11
"Af54","Otiose","Absence of distinctions",8,-10
"Af6","Otiose","Complex stratification",8,4
"Af7","Absent","Absence of distinctions",6,-7
"Af8","Active, supporting morality","Complex stratification",9,6
"Ag1","Absent","Dual stratification",13,-7
"Ag10","Otiose","Absence of distinctions",10,0
"Ag12","Otiose","Absence of distinctions",10,-1
"Ag2","Otiose","Complex stratification",13,-2
"Ag21","Otiose","Absence of distinctions",12,-13
"Ag25","Active, supporting morality","Dual stratification",15,10
"Ag27","Active, supporting morality","Wealth distinctions",9,-4
"Ag28","Active, supporting morality","Complex stratification",14,-4
"Ag4","Absent","Wealth distinctions",11,-1
"Ag41","Otiose","Absence of distinctions",11,0
"Ag47","Otiose","Dual stratification",12,-2
"Ag49","Otiose","Absence of distinctions",10,2
"Ag5","Otiose","Absence of distinctions",10,-3
"Ag50","Otiose","Absence of distinctions",11,1
"Ag54","Active, supporting morality","Absence of distinctions",10,-12
"Ag6","Active, supporting morality","Dual stratification",11,-13
"Ag7","Active, supporting morality","Absence of distinctions",14,-5
"Ag8","Otiose","Absence of distinctions",13,-13
"Ah1","Active, but not supporting morality","Absence of distinctions",10,8
"Ah10","Active, but not supporting morality","Absence of distinctions",10,9
"Ah13","Otiose","Absence of distinctions",12,5
"Ah14","Otiose","Absence of distinctions",11,6
"Ah19","Otiose","Absence of distinctions",10,8
"Ah20","Otiose","Absence of distinctions",10,8
"Ah3","Absent","Absence of distinctions",7,9
"Ah36","Otiose","Dual stratification",10,13
"Ah38","Otiose","Absence of distinctions",11,14
"Ah39","Otiose","Absence of distinctions",11,14
"Ah6","Otiose","Absence of distinctions",10,8
"Ah7","Otiose","Absence of distinctions",11,14
"Ah9","Active, but not supporting morality","Absence of distinctions",10,9
"Ai1","Otiose","Absence of distinctions",7,22
"Ai11","Otiose","Dual stratification",3,28
"Ai12","Otiose","Absence of distinctions",10,14
"Ai18","Active, supporting morality","Dual stratification",12,15
"Ai20","Active, but not supporting morality","Absence of distinctions",10,15
"Ai21","Active, supporting morality","Dual stratification",11,17
"Ai23","Otiose","Absence of distinctions",3,19
"Ai25","Otiose","Absence of distinctions",4,21
"Ai26","Otiose","Absence of distinctions",4,22
"Ai28","Otiose","Absence of distinctions",2,26
"Ai29","Otiose","Absence of distinctions",2,30
"Ai3","Active, but not supporting morality","Dual stratification",5,27
"Ai30","Otiose","Absence of distinctions",2,29
"Ai31","Otiose","Dual stratification",3,30
"Ai32","Otiose","Absence of distinctions",3,32
"Ai33","Otiose","Absence of distinctions",4,32
"Ai35","Otiose","Absence of distinctions",7,29
"Ai47","Otiose","Absence of distinctions",9,35
"Ai5","Otiose","Absence of distinctions",3,29
"Ai6","Otiose","Complex stratification",10,32
"Ai7","Otiose","Absence of distinctions",6,16
"Ai9","Otiose","Absence of distinctions",10,16
"Aj1","Otiose","Absence of distinctions",2,34
"Aj10","Otiose","Absence of distinctions",3,32
"Aj11","Otiose","Absence of distinctions",9,29
"Aj12","Active, but not supporting morality","Wealth distinctions",4,33
"Aj13","Otiose","Elite stratification",4,31
"Aj14","Otiose","Absence of distinctions",4,31
"Aj15","Otiose","Elite stratification",4,32
"Aj17","Otiose","Dual stratification",2,31
